date;Arconate;Caiolo;Cinisello_PN;Mantova_Lunetta2;Pieve_SGiacomo;Vertemate
03/10/2015;1274.87;1604.25;712.88;4239.34;1025.43;NA
04/10/2015;1624.75;2838.75;1773.67;1702.51;3181.58;NA
05/10/2015;320.53;427.73;430.92;713.67;559.66;NA
06/10/2015;339.42;755.57;261.88;625.1;683.17;NA
07/10/2015;816.35;1504.23;931;1990.21;1438.39;NA
08/10/2015;1434.8;1240.09;521.36;593.71;991.25;NA
09/10/2015;985.93;2417.81;828.32;1485.88;1315.9;NA
10/10/2015;893.76;3063.79;534.66;3386.31;2950.61;NA
11/10/2015;409.64;3218.6;397.94;1805.08;868.76;NA
12/10/2015;342.34;4157.58;363.89;1344.06;834.57;NA
13/10/2015;939.25;400.2;840.44;2011.14;1729;NA
14/10/2015;1404.88;2632.87;1503.43;3094.71;1973.32;NA
15/10/2015;2409.56;2323.24;3225.92;2841.94;3390.18;NA
16/10/2015;2478.23;840.29;2111.79;959.99;1921.18;NA
17/10/2015;485.72;1145.13;375.06;462.84;696.65;NA
18/10/2015;253.76;767.68;127.55;432.28;482.66;NA
19/10/2015;757.43;245.38;1226.13;1535.35;1744.96;NA
20/10/2015;306.43;847.34;303.24;968.24;1030.88;NA
21/10/2015;612.46;1208.97;546.36;1186.89;827.93;NA
22/10/2015;951.88;1145.53;977.95;1075.7;1141.94;NA
23/10/2015;418.42;1632.71;282.49;849.07;404.98;NA
24/10/2015;365.48;605.68;418.95;596.5;1047.77;NA
25/10/2015;188.86;401.79;137.79;485.18;176.62;NA
26/10/2015;387.03;467.5;411.5;902.14;628.43;NA
27/10/2015;594.64;317.2;406.32;703.84;541.31;NA
28/10/2015;905.82;435.71;750.65;3949.65;1343.03;NA
29/10/2015;363.09;1856.55;330.64;2909.13;2197.41;NA
30/10/2015;381.44;133.13;225.57;818.01;1205.64;NA
31/10/2015;523.49;472.02;258.55;2120.82;1632.71;NA
01/11/2015;285.15;627.09;323.32;1273.61;553.01;NA
02/11/2015;207.48;243.39;346.33;640.4;495.29;NA
03/11/2015;402.86;477.2;673.78;NA;1005.48;NA
04/11/2015;572.43;427.33;773.26;1556.63;1824.76;NA
05/11/2015;309.89;641.72;499.68;1011.07;1238.5;NA
06/11/2015;397.4;315.88;456.86;1441.99;1285.98;NA
07/11/2015;327.18;471.09;295.53;960.53;1145.53;NA
08/11/2015;302.84;374.53;301.38;685.22;979.41;NA
09/11/2015;529.61;782.97;2409.96;2194.5;2340.13;NA
10/11/2015;120.5;730.17;229.82;755.57;1692.82;NA
11/11/2015;566.05;902.54;1143.27;504.74;490.77;NA
12/11/2015;250.17;63.84;327.71;1330;1345.3;485.18
13/11/2015;514.71;81.93;576.16;442.62;861.18;571.9
14/11/2015;340.48;725.38;373.46;658.76;548.25;313.08
15/11/2015;549.82;320.8;1580.04;904.4;555.99;877.8
16/11/2015;364.26;1391.85;295.25;549.42;201.1;323.32
17/11/2015;204.29;163.59;492.77;853.86;796.94;276.64
18/11/2015;599.56;348.46;797.2;671.52;548.62;526.95
19/11/2015;279.85;207.48;1098.12;700.91;676.51;561.79
20/11/2015;335.16;181.55;462.04;723.57;493.94;512.32
21/11/2015;4910.36;1428.42;3329.15;6862.58;8797.15;4519.07
22/11/2015;2743.92;363.09;3244.53;1117.24;867.82;2456.24
23/11/2015;1996.06;154.55;1735.65;2708.15;1312.71;782.04
24/11/2015;568.18;56.92;582.81;683.09;406.98;408.58
25/11/2015;547.43;117.04;420.94;368.68;196.04;292.33
26/11/2015;NA;859.18;740.28;1864.17;1346.65;3670
27/11/2015;NA;59.85;641.06;1104.43;561.93;1168.67
28/11/2015;259.35;NA;222.38;655.96;1047.24;725.38
29/11/2015;238.2;NA;189.39;653.56;532.53;290.47
30/11/2015;350.72;NA;1609.83;478.8;371.07;1238.5
01/12/2015;563.92;NA;1578.05;198.97;468.16;1468.32
02/12/2015;373.46;123.69;510.99;636.8;615.52;316.41
03/12/2015;210.67;94.43;288.61;744.8;631.75;257.62
04/12/2015;619.25;124.49;571.76;653.43;577.22;458.85
05/12/2015;664.34;151.62;1033.94;1465.66;1364.18;851.2
06/12/2015;282.36;108.26;475.08;NA;682.69;223.44
